id,address,name,construction,demolition,architect,notes,target1904,scope,occupancy1904,geometry_status,confidence,source_ids,built_year,demolished_year,status_1904,events,directory_candidates,excluded_1904,measurements
pa-1612-1,1612 S. Prairie Avenue,Joseph Goodman / Studebaker residence,1869,circa 1960,,"Bishop Anderson residence from 1905; do not backdate that occupancy. | 1904 Blue Book candidate: Charles Edward Brown; George F. Brown; George F. Brown Jr.. OCR-derived, selected names only; page verification pending.",inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_north"", ""civic-bluebook-1904""]",1869,,inferred present,"[{""type"": ""construction"", ""date_text"": ""1869"", ""source_ids"": [""B-marker_north"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""circa 1960"", ""source_ids"": [""B-marker_north"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 1612, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""Charles Edward Brown; George F. Brown; George F. Brown Jr."", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
pa-1638-2,1638 S. Prairie Avenue,John G. Shortall / Robert B. and Addie Gregory residence,1868 (marker); 1870 (1973 report),1944 (marker); conflicts with report’s 1947 occupancy claim,John W. Roberts,"Chronology conflict retained; adjudicate against permits/newspapers. | 1904 Blue Book candidate: Robert B. Gregory household; Elizabeth Gregory; Miss Gregory. OCR-derived, selected names only; page verification pending.",inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_north"", ""B-city1973"", ""civic-bluebook-1904""]",,,inferred present,"[{""type"": ""construction"", ""date_text"": ""1868 (marker); 1870 (1973 report)"", ""source_ids"": [""B-marker_north"", ""B-city1973"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1944 (marker); conflicts with report’s 1947 occupancy claim"", ""source_ids"": [""B-marker_north"", ""B-city1973"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 1638, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""Robert B. Gregory household; Elizabeth Gregory; Miss Gregory"", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
pa-1701-3,1701 S. Prairie Avenue,William G. Hibbard residence,1869,1932,William Le Baron Jenney,"American Terra Cotta acquired 1921; Sullivan office was later use. | 1904 Blue Book candidate: Mrs. William Gold Hibbard; Mrs. O. Van Schaack Ward. OCR-derived, selected names only; page verification pending.",inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_north"", ""civic-bluebook-1904""]",1869,1932,inferred present,"[{""type"": ""construction"", ""date_text"": ""1869"", ""source_ids"": [""B-marker_north"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1932"", ""source_ids"": [""B-marker_north"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 1701, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""Mrs. William Gold Hibbard; Mrs. O. Van Schaack Ward"", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
pa-1721-4,1721 S. Prairie Avenue,Wirt Dexter residence,1863,1927,,"Arthur Little front addition, 1889; later relocation of addition requires dated phase model. | 1904 Blue Book candidate: Henry H. Walker household. OCR-derived, selected names only; page verification pending.",inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_north"", ""civic-bluebook-1904""]",1863,1927,inferred present,"[{""type"": ""construction"", ""date_text"": ""1863"", ""source_ids"": [""B-marker_north"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1927"", ""source_ids"": [""B-marker_north"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 1721, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""Henry H. Walker household"", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
pa-1729-5,1729 S. Prairie Avenue,George M. Pullman residence,1870–1876,1922,Henry S. Jaffray; later Solon S. Beman,"Marker spells Jaffay; theatre, organ, bowling alley; conservatory/park extended across 18th along Calumet. | 1904 Blue Book candidate: Mrs. George M. Pullman. OCR-derived, selected names only; page verification pending.",inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_north"", ""civic-bluebook-1904""]",,1922,inferred present,"[{""type"": ""construction"", ""date_text"": ""1870–1876"", ""source_ids"": [""B-marker_north"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1922"", ""source_ids"": [""B-marker_north"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 1729, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""Mrs. George M. Pullman"", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
pa-1808-6,1808 S. Prairie Avenue,Osborn R. Keith / Stanley Field residence,1886,1968,Cobb & Frost,"North wall retained beside Glessner courtyard. | 1904 Blue Book candidate: Stanley Field household. OCR-derived, selected names only; page verification pending.",inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_west"", ""civic-bluebook-1904""]",1886,1968,inferred present,"[{""type"": ""construction"", ""date_text"": ""1886"", ""source_ids"": [""B-marker_west"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1968"", ""source_ids"": [""B-marker_west"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 1808, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""Stanley Field household"", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
pa-1812-7,1812 S. Prairie Avenue,George H. Wheeler residence,1884,1968,Burnham & Root,"Brick, Dutch vernacular rowhouse. | 1904 Blue Book candidate: Lawrence A. Young household. OCR-derived, selected names only; page verification pending.",inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_west"", ""civic-bluebook-1904""]",1884,1968,inferred present,"[{""type"": ""construction"", ""date_text"": ""1884"", ""source_ids"": [""B-marker_west"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1968"", ""source_ids"": [""B-marker_west"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 1812, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""Lawrence A. Young household"", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
pa-1824-8,1824 S. Prairie Avenue,Samuel B. Pomeroy / George B. Marsh residence,1857,1940s,,"New stone front in early 1880s; use altered form for 1904. | 1904 Blue Book candidate: Secor Cunningham household. OCR-derived, selected names only; page verification pending.",inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_west"", ""civic-bluebook-1904""]",1857,,inferred present,"[{""type"": ""construction"", ""date_text"": ""1857"", ""source_ids"": [""B-marker_west"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1940s"", ""source_ids"": [""B-marker_west"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 1824, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""Secor Cunningham household"", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
pa-1834-9,1834 S. Prairie Avenue,Fernando Jones residence,1866 (marker); post-1871 (1973 report),1942,John M. Van Osdel,"1886 mansard addition; disputed original construction date. | 1904 Blue Book candidate: Fernando Jones household. OCR-derived, selected names only; page verification pending.",inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_west"", ""B-city1973"", ""civic-bluebook-1904""]",,1942,inferred present,"[{""type"": ""construction"", ""date_text"": ""1866 (marker); post-1871 (1973 report)"", ""source_ids"": [""B-marker_west"", ""B-city1973"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1942"", ""source_ids"": [""B-marker_west"", ""B-city1973"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 1834, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""Fernando Jones household"", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
pa-1912-10,1912 S. Prairie Avenue,Bryan P. Moulton / Frank O. Lowden residence,1882,1939,,"Marker says Lowden acquired 1898; 1973 report says 1899. Later Blackstone widow use not necessarily 1904. | 1904 Blue Book candidate: Frank Orren Lowden household. OCR-derived, selected names only; page verification pending.",inferred present,core,,unmeasured; footprint and heights require map/plan reconciliation,source-backed identification; 1904 existence inferred from lifespan unless otherwise stated,"[""B-marker_west"", ""civic-bluebook-1904""]",1882,1939,inferred present,"[{""type"": ""construction"", ""date_text"": ""1882"", ""source_ids"": [""B-marker_west"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}, {""type"": ""loss"", ""date_text"": ""1939"", ""source_ids"": [""B-marker_west"", ""civic-bluebook-1904""], ""confidence"": ""reported; preserve ranges/conflicts""}]","[{""address"": 1912, ""street"": ""Prairie Avenue"", ""year_label"": 1904, ""source_id"": ""civic-bluebook-1904"", ""source_locator"": ""printed pp.186–187; PDF pp.188–189"", ""listed_people"": ""Frank Orren Lowden household"", ""verification"": ""OCR-derived factual candidate; visual source-page check pending"", ""limits"": ""Selected names only; does not establish complete household, ownership, vacancy or building geometry.""}]",False,[]
